UNIQUE_id,UNIQUE_num_records,ELIGIBLE_consent,CONNECTION_social_days_friends_p7d_grouped,LONELY_direct
cscs_00001,1,Yes,Some days (1 - 3 days),All of the time (e.g. 5-7 days)]
cscs_00002,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00003,1,Yes,Every day (7 days),Some or a little of the time (e.g. 1-2 days)
cscs_00005,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00006,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00007,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00008,1,Yes,None (0 Days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00009,1,Yes,None (0 Days),All of the time (e.g. 5-7 days)]
cscs_00010,1,Yes,Some days (1 - 3 days),All of the time (e.g. 5-7 days)]
cscs_00011,1,Yes,NA,Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00012,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_00013,1,Yes,Every day (7 days),Rarely (e.g. less than 1 day)
cscs_00014,1,Yes,NA,NA
cscs_00015,1,Yes,None (0 Days),"None of the time (e.g., 0 days)"
cscs_00016,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00017,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00018,1,Yes,NA,NA
cscs_00019,1,Yes,NA,Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00020,1,Yes,None (0 Days),Some or a little of the time (e.g. 1-2 days)
cscs_00021,3,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_00021,3,Yes,NA,NA
cscs_00021,3,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00022,1,Yes,NA,NA
cscs_00023,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00024,1,Yes,Some days (1 - 3 days),All of the time (e.g. 5-7 days)]
cscs_00025,1,Yes,None (0 Days),All of the time (e.g. 5-7 days)]
cscs_00027,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00028,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00029,1,Yes,Every day (7 days),Rarely (e.g. less than 1 day)
cscs_00030,1,Yes,NA,NA
cscs_00031,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_00032,1,Yes,None (0 Days),All of the time (e.g. 5-7 days)]
cscs_00033,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00034,1,Yes,NA,NA
cscs_00035,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_00036,1,Yes,Every day (7 days),Some or a little of the time (e.g. 1-2 days)
cscs_00038,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_00039,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00040,1,Yes,Most days (4 - 6 days),NA
cscs_00041,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_00043,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00045,1,Yes,Most days (4 - 6 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00046,1,Yes,NA,NA
cscs_00047,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00048,1,Yes,NA,NA
cscs_00049,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_00050,1,Yes,NA,NA
cscs_00051,1,Yes,Some days (1 - 3 days),All of the time (e.g. 5-7 days)]
cscs_00052,1,Yes,Most days (4 - 6 days),NA
cscs_00053,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00054,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00055,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_00056,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00057,1,Yes,None (0 Days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00058,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_00059,1,Yes,Every day (7 days),Some or a little of the time (e.g. 1-2 days)
cscs_00060,1,Yes,Every day (7 days),Some or a little of the time (e.g. 1-2 days)
cscs_00061,1,Yes,Every day (7 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00062,1,Yes,NA,NA
cscs_00063,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00064,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00065,1,Yes,NA,NA
cscs_00066,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00067,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00068,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_00069,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00070,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_00071,1,Yes,NA,NA
cscs_00072,1,Yes,None (0 Days),All of the time (e.g. 5-7 days)]
cscs_00073,1,Yes,NA,NA
cscs_00074,3,Yes,None (0 Days),"None of the time (e.g., 0 days)"
cscs_00074,3,Yes,Most days (4 - 6 days),"None of the time (e.g., 0 days)"
cscs_00075,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00076,1,Yes,NA,NA
cscs_00077,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00078,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00079,1,Yes,Most days (4 - 6 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00080,2,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00080,2,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00081,2,Yes,None (0 Days),All of the time (e.g. 5-7 days)]
cscs_00081,2,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00082,1,Yes,Every day (7 days),NA
cscs_00083,1,Yes,Some days (1 - 3 days),All of the time (e.g. 5-7 days)]
cscs_00084,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_00085,1,Yes,NA,Presented but no response
cscs_00086,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00087,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00088,1,Yes,Some days (1 - 3 days),NA
cscs_00089,1,Yes,NA,NA
cscs_00090,1,Yes,None (0 Days),Rarely (e.g. less than 1 day)
cscs_00091,1,Yes,Every day (7 days),"None of the time (e.g., 0 days)"
cscs_00092,1,Yes,NA,NA
cscs_00093,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00094,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00095,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00096,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00097,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00098,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00099,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00100,1,Yes,NA,NA
cscs_00101,1,Yes,NA,NA
cscs_00103,1,Yes,Every day (7 days),Some or a little of the time (e.g. 1-2 days)
cscs_00104,1,Yes,Every day (7 days),All of the time (e.g. 5-7 days)]
cscs_00105,1,Yes,Some days (1 - 3 days),All of the time (e.g. 5-7 days)]
